Núm_corre,Año_ocu,Día_ocu,Hora_ocu,g_hora,g_hora_5,Mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2020,1,1,1,1,1,3,1,101,6,2,48,3,9999,99,1
2,2020,1,15,3,2,1,3,1,101,6,4,999,99,9999,99,1
3,2020,1,5,1,1,1,3,1,101,12,1,27,3,9999,99,1
4,2020,1,7,2,1,1,3,1,116,99,4,999,99,9999,99,6
5,2020,1,12,3,2,1,3,1,108,99,1,61,1,2004,4,1
6,2020,1,0,1,1,1,3,22,2205,99,3,69,99,1994,3,1
7,2020,1,16,3,2,1,3,20,2001,99,2,999,2,9999,99,3
8,2020,1,11,2,1,1,3,5,509,99,1,73,5,9999,99,1
9,2020,1,7,2,1,1,3,6,601,99,1,69,4,2004,4,1
10,2020,1,14,3,2,1,3,10,1002,99,9,69,3,2020,6,1
11,2020,1,9,2,1,1,3,10,1014,99,4,18,5,9999,99,2
12,2020,1,2,1,1,1,3,11,1106,99,4,999,2,9999,99,6
13,2020,1,2,1,1,1,3,9,903,99,4,64,5,9999,99,1
14,2020,1,17,3,2,1,3,16,1613,99,4,6,1,2008,4,1
15,2020,1,0,1,1,1,3,18,1801,99,99,999,99,9999,99,1
16,2020,1,9,2,1,1,3,14,1416,99,3,69,1,9999,99,3
17,2020,1,20,4,3,1,3,4,406,99,3,69,1,2008,4,1
18,2020,2,17,3,2,1,4,1,103,99,5,31,2,2012,5,1
19,2020,2,11,2,1,1,4,19,1903,99,2,69,5,2013,5,1
20,2020,2,20,4,3,1,4,11,1109,99,3,999,1,9999,99,1
21,2020,2,13,3,2,1,4,12,1227,99,2,31,4,1999,3,1
22,2020,2,19,4,3,1,4,3,301,99,2,52,4,2017,5,8
23,2020,3,15,3,2,1,5,1,101,1,4,6,15,2020,6,1
24,2020,3,21,4,3,1,5,1,101,6,1,56,2,2013,5,1
25,2020,3,13,3,2,1,5,1,101,6,9,999,99,9999,99,1
26,2020,3,2,1,1,1,5,1,108,99,1,999,99,9999,99,1
27,2020,3,20,4,3,1,5,1,108,99,12,30,2,1992,3,1
28,2020,3,23,4,3,1,5,1,101,19,4,6,5,9999,99,6
29,2020,3,17,3,2,1,5,15,1501,99,3,999,99,9999,99,1
30,2020,4,15,3,2,1,6,11,1102,99,4,32,1,2019,5,1
31,2020,4,18,4,3,1,6,1,101,1,4,72,99,9999,99,1
32,2020,4,23,4,3,1,6,1,101,5,4,6,5,2019,5,1
33,2020,4,14,3,2,1,6,1,117,99,4,67,1,9999,99,1
34,2020,4,5,1,1,1,6,10,1001,99,4,6,1,9999,99,1
35,2020,4,15,3,2,1,6,11,1102,99,4,3,5,2007,4,1
36,2020,4,16,3,2,1,6,13,1301,99,4,54,3,9999,99,1
37,2020,4,18,4,3,1,6,15,1501,99,1,48,5,2019,5,1
38,2020,4,12,3,2,1,6,4,401,99,3,69,2,1980,2,1
39,2020,5,8,2,1,1,7,1,101,7,12,999,99,9999,99,1
40,2020,5,20,4,3,1,7,20,2001,99,4,6,5,9999,99,2
41,2020,5,20,4,3,1,7,9,901,99,9,69,2,9999,99,1
42,2020,5,1,1,1,1,7,2,207,99,1,999,2,9999,99,1
43,2020,5,3,1,1,1,7,18,1801,99,6,999,99,9999,99,1
44,2020,5,15,3,2,1,7,17,1709,99,5,26,99,9999,99,1
45,2020,5,19,4,3,1,7,14,1413,99,4,64,1,9999,99,1
46,2020,5,13,3,2,1,7,3,302,99,5,52,2,1999,3,2
47,2020,6,20,4,3,1,1,1,101,8,12,999,1,1997,3,1
48,2020,6,16,3,2,1,1,1,101,3,11,999,99,9999,99,1
49,2020,6,1,1,1,1,1,1,101,18,2,52,4,9999,99,1
50,2020,6,1,1,1,1,1,1,108,99,3,17,4,9999,99,2
51,2020,6,21,4,3,1,1,6,601,99,5,30,99,9999,99,1
52,2020,6,19,4,3,1,1,16,1602,99,1,52,3,9999,99,1
53,2020,6,16,3,2,1,1,2,208,99,4,999,5,9999,99,1
54,2020,6,23,4,3,1,1,4,416,99,4,6,5,2019,5,1
55,2020,6,19,4,3,1,1,3,303,99,4,999,99,9999,99,1
