﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
1,2022,1,4,Ma?ana,Enero,Sabado,Guatemala,Guatemala,9,Autom?vil,Honda,Azul,Ignorado,Ignorado,Colisi?n,1
2,2022,1,11,Ma?ana,Enero,Sabado,Guatemala,San Jos? Pinula,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
3,2022,1,1,Ma?ana,Enero,Sabado,Guatemala,Guatemala,7,Autom?vil,Mitsubishi,Amarillo,2002,2000-2009,Choque,1
4,2022,1,7,Ma?ana,Enero,Sabado,Guatemala,Guatemala,7,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
5,2022,1,5,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,1
6,2022,1,5,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape,1
7,2022,1,21,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Camioneta,Ford,Verde,1998,1990-1999,Derrape,4
8,2022,1,0,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,1
9,2022,1,13,Tarde,Enero,Sabado,Guatemala,Mixco,1,Autom?vil,Hyundai,Negro,2002,2000-2009,Choque,3
10,2022,1,19,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,4
11,2022,1,8,Ma?ana,Enero,Sabado,Jutiapa,Asunci?n Mita,Ignorada,Motocicleta,Freedom,Blanco,Ignorado,Ignorado,Choque,2
12,2022,1,0,Ma?ana,Enero,Sabado,Jalapa,San Manuel Chaparr?n,Ignorada,Motocicleta,Italika,Negro,Ignorado,Ignorado,Choque,1
13,2022,1,22,Noche,Enero,Sabado,Zacapa,Zacapa,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,4
14,2022,1,21,Noche,Enero,Sabado,Escuintla,Pal?n,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisi?n,4
15,2022,1,8,Ma?ana,Enero,Sabado,Escuintla,Escuintla,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
16,2022,1,9,Ma?ana,Enero,Sabado,Suchitep?quez,Mazatenango,Ignorada,Autom?vil,Mazda,Gris,Ignorado,Ignorado,Derrape,2
17,2022,1,19,Noche,Enero,Sabado,Retalhuleu,San Sebasti?n,Ignorada,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
18,2022,1,21,Noche,Enero,Sabado,Quetzaltenango,Quetzaltenango,Ignorada,Camioneta,Mazda,Negro,Ignorado,Ignorado,Vuelco,4
19,2022,1,23,Noche,Enero,Sabado,Alta Verapaz,Santa Catalina La Tinta,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,4
20,2022,1,3,Ma?ana,Enero,Sabado,El Progreso,El J?caro,Ignorada,Cami?n,Isuzu,Blanco,Ignorado,Ignorado,Colisi?n,1
21,2022,1,0,Ma?ana,Enero,Sabado,El Progreso,Sanarate,Ignorada,Autom?vil,Ignorado,Verde,Ignorado,Ignorado,Choque,1
22,2022,1,15,Tarde,Enero,Sabado,Pet?n,San Andr?s,Ignorada,Autom?vil,Ignorado,Azul,Ignorado,Ignorado,Choque,3
23,2022,1,12,Tarde,Enero,Sabado,Solol?,Solol?,Ignorada,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,3
24,2022,1,15,Tarde,Enero,Sabado,Chimaltenango,Tecp?n Guatemala,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,3
25,2022,1,8,Ma?ana,Enero,Sabado,Sacatep?quez,San Miguel Due?as,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque,2
26,2022,2,15,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Bus urbano,Otros,Azul,2001,2000-2009,Colisi?n,3
27,2022,2,12,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Autom?vil,Mitsubishi,Gris,2014,2010-2019,Colisi?n,3
28,2022,2,0,Ma?ana,Enero,Domingo,Guatemala,Guatemala,7,Motocicleta,Italika,Ignorado,2016,2010-2019,Derrape,1
29,2022,2,18,Noche,Enero,Domingo,Guatemala,Petapa,7,Camioneta,Chevrolet,Gris,2007,2000-2009,Colisi?n,4
30,2022,2,21,Noche,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisi?n,4
31,2022,2,1,Ma?ana,Enero,Domingo,Guatemala,Villa Nueva,1,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,1
32,2022,2,19,Noche,Enero,Domingo,Guatemala,Mixco,6,Motocicleta,Ignorado,Ignorado,2022,2020-2029,Derrape,4
33,2022,2,11,Ma?ana,Enero,Domingo,Guatemala,Mixco,1,Pick up,Nissan,Gris,Ignorado,Ignorado,Colisi?n,2
34,2022,2,16,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisi?n,3
35,2022,2,20,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorada,Motocicleta,Bajaj,Negro,2015,2010-2019,Colisi?n,4
36,2022,2,19,Noche,Enero,Domingo,Escuintla,Escuintla,Ignorada,Bus urbano,Internacional,Turquesa,Ignorado,Ignorado,Derrape,4
37,2022,2,11,Ma?ana,Enero,Domingo,Santa Rosa,Pueblo Nuevo Vi?as,Ignorada,Autom?vil,Honda,Negro,2010,2010-2019,Colisi?n,2
38,2022,2,19,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisi?n,4
39,2022,2,22,Noche,Enero,Domingo,Quetzaltenango,Coatepeque,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
40,2022,2,4,Ma?ana,Enero,Domingo,Izabal,Puerto Barrios,Ignorada,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Derrape,1
41,2022,2,19,Noche,Enero,Domingo,Izabal,El Estor,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
42,2022,2,11,Ma?ana,Enero,Domingo,Izabal,El Estor,Ignorada,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Colisi?n,2
43,2022,2,10,Ma?ana,Enero,Domingo,Chimaltenango,Patzic?a,Ignorada,Motocicleta,Yamaha,Negro,2005,2000-2009,Colisi?n,2
44,2022,2,16,Tarde,Enero,Domingo,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,3
45,2022,3,17,Tarde,Enero,Lunes,Guatemala,Guatemala,13,Autom?vil,Hyundai,Corinto,2006,2000-2009,Colisi?n,3
46,2022,3,22,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorada,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisi?n,4
47,2022,3,13,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,3
48,2022,3,5,Ma?ana,Enero,Lunes,Retalhuleu,Retalhuleu,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,1
49,2022,3,9,Ma?ana,Enero,Lunes,Quetzaltenango,Salcaj?,Ignorada,Autom?vil,Volkswagen,Gris,Ignorado,Ignorado,Choque,2
50,2022,3,15,Tarde,Enero,Lunes,San Marcos,San Rafael Pie de la Cuesta,Ignorada,Pick up,Toyota,Azul,2006,2000-2009,Colisi?n,3
51,2022,3,6,Ma?ana,Enero,Lunes,San Marcos,Ayutla,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,2
52,2022,3,7,Ma?ana,Enero,Lunes,Totonicap?n,Totonicap?n,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,2
53,2022,3,1,Ma?ana,Enero,Lunes,Baja Verapaz,Salam?,Ignorada,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Derrape,1
54,2022,3,15,Tarde,Enero,Lunes,El Progreso,San Crist?bal Acasaguastl?n,Ignorada,Cami?n,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,3
55,2022,3,23,Noche,Enero,Lunes,El Progreso,Moraz?n,Ignorada,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Derrape,4
56,2022,3,8,Ma?ana,Enero,Lunes,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Toyota,Ignorado,Ignorado,Ignorado,Colisi?n,2
57,2022,3,9,Ma?ana,Enero,Lunes,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Honda,Gris,2006,2000-2009,Derrape,2
58,2022,4,8,Ma?ana,Enero,Martes,Guatemala,Guatemala,9,Autom?vil,Hero Hunk,Blanco,2015,2010-2019,Colisi?n,2
59,2022,4,15,Tarde,Enero,Martes,Guatemala,Guatemala,1,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
60,2022,4,7,Ma?ana,Enero,Martes,Guatemala,Villa Canales,2,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
61,2022,4,9,Ma?ana,Enero,Martes,Guatemala,Villa Canales,Ignorada,Microb?s,Toyota,Gris,Ignorado,Ignorado,Colisi?n,2
62,2022,4,18,Noche,Enero,Martes,Retalhuleu,Retalhuleu,Ignorada,Pick up,Toyota,Corinto,Ignorado,Ignorado,Colisi?n,4
63,2022,4,16,Tarde,Enero,Martes,Baja Verapaz,Salam?,Ignorada,Camioneta,Toyota,Ignorado,Ignorado,Ignorado,Colisi?n,3
64,2022,4,5,Ma?ana,Enero,Martes,Chimaltenango,San Mart?n Jilotepeque,Ignorada,Camioneta,Mercedes Benz,Celeste,2013,2010-2019,Choque,1
65,2022,4,10,Ma?ana,Enero,Martes,Sacatep?quez,Antigua Guatemala,Ignorada,Motocicleta,MRT,Verde,2019,2010-2019,Colisi?n,2
