﻿﻿núm_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
1,2023,1,15,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorada,Pick up,Nissan,Negro,2017,2010-2019,Colisión,3
2,2023,1,15,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Pick up,Nissan,Gris,1986,1980-1989,Colisión,3
3,2023,1,20,Noche,Enero,Domingo,Guatemala,Guatemala,6,Motocicleta,Bajaj,Negro,2021,2020-2029,Derrape,4
4,2023,1,15,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Motocicleta,Suzuki,Gris,2021,2020-2029,Choque,3
5,2023,1,23,Noche,Enero,Domingo,Guatemala,Guatemala,13,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Derrape,4
6,2023,1,23,Noche,Enero,Domingo,Guatemala,Guatemala,12,Automóvil,Toyota,Blanco,2009,2000-2009,Colisión,4
7,2023,1,10,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Camioneta,Honda,Gris,2018,2010-2019,Colisión,2
8,2023,1,17,Tarde,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Choque,3
9,2023,1,10,Mañana,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,Choque,2
10,2023,1,0,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Haojue,Azul,2019,2010-2019,Choque,1
11,2023,1,23,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
12,2023,1,1,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,1
13,2023,1,8,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorada,Cabezal,Freightliner,Blanco,Ignorado,Ignorado,Colisión,2
14,2023,1,2,Mañana,Enero,Domingo,Escuintla,La Gomera,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,1
15,2023,1,14,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
16,2023,1,22,Noche,Enero,Domingo,Escuintla,Nueva Concepción,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,4
17,2023,1,3,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Camioneta,Honda,Gris,2011,2010-2019,Colisión,1
18,2023,1,2,Mañana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Motocicleta,Asia Hero,Ignorado,2022,2020-2029,Colisión,1
19,2023,1,13,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorada,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión,3
20,2023,1,15,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorada,Automóvil,Hyundai,Rojo,Ignorado,Ignorado,Colisión,3
21,2023,1,20,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,Ignorada,Cuatrimoto,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,4
