núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,tipo_veh,marca_veh,int_o_noint
1,2019,1,5,1,1,1,2,1,101,3,1,20,3,3,5,1,5,2018,5,6,2,4,64,1
2,2019,1,21,4,3,1,2,1,101,1,1,30,5,5,7,1,5,2018,5,1,2,4,6,1
3,2019,1,21,4,3,1,2,1,101,1,2,34,5,5,7,1,5,2018,5,1,2,4,6,1
4,2019,1,7,2,1,1,2,1,101,18,1,30,5,5,7,1,5,2018,5,1,2,4,18,1
5,2019,1,11,2,1,1,2,1,102,99,1,23,3,3,5,1,3,2006,4,1,2,4,67,1
6,2019,1,8,2,1,1,2,1,101,7,1,25,4,4,6,1,1,9999,99,6,1,4,27,2
7,2019,1,0,1,1,1,2,1,101,7,1,32,5,5,7,1,99,9999,99,1,2,4,999,1
8,2019,1,4,1,1,1,2,1,115,99,2,24,3,3,5,1,1,9999,99,6,2,4,999,1
9,2019,1,4,1,1,1,2,1,115,99,2,3,1,1,1,2,1,9999,99,6,2,4,999,1
10,2019,1,4,1,1,1,2,1,114,99,1,50,9,9,11,1,3,9999,99,1,2,4,77,1
11,2019,1,11,2,1,1,2,1,108,99,1,41,7,7,9,1,5,9999,99,1,2,4,32,1
12,2019,1,12,3,2,1,2,1,110,99,2,23,3,3,5,1,99,9999,99,1,2,1,56,1
13,2019,1,16,3,2,1,2,1,112,99,2,14,1,1,3,2,99,9999,99,3,2,2,999,1
14,2019,1,16,3,2,1,2,1,112,99,2,33,5,5,7,1,99,9999,99,3,2,2,999,1
15,2019,1,16,3,2,1,2,1,112,99,2,12,1,1,3,2,99,9999,99,3,2,2,999,1
16,2019,1,4,1,1,1,2,20,2009,99,1,24,3,3,5,1,3,9999,99,6,2,4,67,1
17,2019,1,9,2,1,1,2,20,2009,99,1,26,4,4,6,1,2,9999,99,6,2,4,67,1
18,2019,1,11,2,1,1,2,19,1905,99,1,999,16,12,18,1,2,9999,99,1,2,1,69,1
19,2019,1,11,2,1,1,2,19,1905,99,2,999,16,12,18,1,2,9999,99,1,2,1,69,1
20,2019,1,11,2,1,1,2,19,1905,99,1,999,16,12,18,1,2,9999,99,1,2,1,69,1
21,2019,1,11,2,1,1,2,19,1905,99,2,999,16,12,18,1,2,9999,99,1,2,1,69,1
22,2019,1,11,2,1,1,2,19,1905,99,1,44,7,7,9,1,99,9999,99,1,2,4,67,1
23,2019,1,22,4,3,1,2,5,501,99,1,10,1,1,3,2,99,9999,99,1,2,4,999,1
24,2019,1,1,1,1,1,2,5,506,99,1,28,4,4,6,1,5,9999,99,1,2,4,6,1
25,2019,1,1,1,1,1,2,5,506,99,2,18,2,2,4,1,5,2016,5,1,2,4,67,1
26,2019,1,7,2,1,1,2,5,501,99,1,25,4,4,6,1,3,9999,99,6,1,4,27,2
27,2019,1,15,3,2,1,2,5,501,99,1,5,1,1,2,2,6,9999,99,3,2,1,56,1
28,2019,1,15,3,2,1,2,5,501,99,1,11,1,1,3,2,6,9999,99,3,2,1,56,1
29,2019,1,15,3,2,1,2,5,501,99,2,9,1,1,2,2,6,9999,99,3,2,1,56,1
30,2019,1,15,3,2,1,2,5,501,99,1,1,1,1,1,2,6,9999,99,3,2,1,56,1
31,2019,1,15,3,2,1,2,5,501,99,1,35,6,6,8,1,6,9999,99,3,2,1,56,1
32,2019,1,15,3,2,1,2,5,501,99,2,27,4,4,6,1,6,9999,99,3,2,1,56,1
33,2019,1,15,3,2,1,2,5,501,99,1,32,5,5,7,1,6,9999,99,3,2,1,56,1
34,2019,1,15,3,2,1,2,5,501,99,2,13,1,1,3,2,6,9999,99,3,2,1,56,1
35,2019,1,5,1,1,1,2,6,608,99,1,39,6,6,8,1,99,9999,99,6,1,4,999,2
36,2019,1,0,1,1,1,2,6,613,99,1,21,3,3,5,1,99,9999,99,6,1,4,999,2
37,2019,1,16,3,2,1,2,10,1018,99,2,31,5,5,7,1,9,9999,99,1,2,3,69,1
38,2019,1,16,3,2,1,2,10,1018,99,2,21,3,3,5,1,9,9999,99,1,2,3,69,1
39,2019,1,16,3,2,1,2,10,1018,99,1,12,1,1,3,2,9,9999,99,1,2,3,69,1
40,2019,1,16,3,2,1,2,10,1018,99,2,27,4,4,6,1,9,9999,99,1,2,3,69,1
41,2019,1,16,3,2,1,2,10,1018,99,1,3,1,1,1,2,9,9999,99,1,2,3,69,1
42,2019,1,16,3,2,1,2,10,1018,99,1,7,1,1,2,2,9,9999,99,1,2,3,69,1
43,2019,1,16,3,2,1,2,10,1018,99,1,31,5,5,7,1,9,9999,99,1,2,3,69,2
44,2019,1,16,3,2,1,2,10,1018,99,2,37,6,6,8,1,9,9999,99,1,2,3,69,2
45,2019,1,16,3,2,1,2,10,1018,99,1,7,1,1,2,2,9,9999,99,1,2,3,69,1
46,2019,1,16,3,2,1,2,10,1018,99,2,17,2,2,4,2,9,9999,99,1,2,3,69,2
47,2019,1,16,3,2,1,2,10,1018,99,1,25,4,4,6,1,9,9999,99,1,2,3,69,2
48,2019,1,16,3,2,1,2,10,1018,99,2,14,1,1,3,2,9,9999,99,1,2,3,69,1
49,2019,1,16,3,2,1,2,10,1018,99,2,5,1,1,2,2,9,9999,99,1,2,3,69,1
50,2019,1,16,3,2,1,2,10,1018,99,2,36,6,6,8,1,9,9999,99,1,2,3,69,1
51,2019,1,16,3,2,1,2,10,1018,99,2,56,10,10,12,1,9,9999,99,1,1,3,69,2
52,2019,1,16,3,2,1,2,10,1018,99,1,64,11,11,13,1,9,9999,99,1,2,3,69,1
53,2019,1,8,2,1,1,2,9,910,99,1,27,4,4,6,1,6,9999,99,1,2,4,999,1
54,2019,1,8,2,1,1,2,9,910,99,2,9,1,1,2,2,6,9999,99,1,2,4,999,1
55,2019,1,21,4,3,1,2,9,923,99,1,37,6,6,8,1,5,9999,99,1,2,4,35,1
56,2019,1,14,3,2,1,2,12,1223,99,1,999,16,12,18,1,99,9999,99,1,2,4,999,1
57,2019,1,14,3,2,1,2,12,1223,99,1,999,16,12,18,1,99,9999,99,1,2,4,999,1
58,2019,1,1,1,1,1,2,12,1227,99,1,32,5,5,7,1,4,9999,99,1,2,3,69,1
59,2019,1,1,1,1,1,2,12,1227,99,1,30,5,5,7,1,4,9999,99,1,2,3,69,1
