Núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
1,2020,1,15,3,2,1,3,1,101,6,1,999,16,12,18,1,4,999,99,9999,99,1,2,1
2,2020,1,15,3,2,1,3,1,101,6,1,999,16,12,18,1,4,999,99,9999,99,1,2,1
3,2020,1,5,1,1,1,3,1,101,12,1,63,11,11,13,1,4,32,6,9999,99,1,2,1
4,2020,1,7,2,1,1,3,1,116,99,1,52,9,9,11,1,4,999,99,9999,99,6,2,2
5,2020,1,7,2,1,1,3,1,116,99,1,23,3,3,5,1,4,999,99,9999,99,6,2,1
6,2020,1,0,1,1,1,3,22,2205,99,1,34,5,5,7,1,1,27,4,2005,4,1,2,2
7,2020,1,16,3,2,1,3,20,2001,99,1,10,1,1,3,2,2,999,2,9999,99,3,2,1
8,2020,1,16,3,2,1,3,20,2001,99,2,5,1,1,2,2,2,999,2,9999,99,3,2,1
9,2020,1,16,3,2,1,3,20,2001,99,2,4,1,1,1,2,2,999,2,9999,99,3,2,1
10,2020,1,16,3,2,1,3,20,2001,99,2,29,4,4,6,1,2,999,2,9999,99,3,2,1
11,2020,1,16,3,2,1,3,20,2001,99,2,2,1,1,1,2,2,999,2,9999,99,3,2,1
12,2020,1,16,3,2,1,3,20,2001,99,2,3,1,1,1,2,2,999,2,9999,99,3,2,1
13,2020,1,16,3,2,1,3,20,2001,99,1,35,6,6,8,1,2,999,2,9999,99,3,2,1
14,2020,1,16,3,2,1,3,20,2001,99,2,67,12,11,14,1,2,999,2,9999,99,3,2,1
15,2020,1,11,2,1,1,3,5,509,99,1,55,10,10,12,1,18,999,99,9999,99,1,1,2
16,2020,1,14,3,2,1,3,10,1002,99,1,55,10,10,12,1,3,999,2,9999,99,1,1,2
17,2020,1,14,3,2,1,3,10,1002,99,2,999,16,12,18,1,3,999,2,9999,99,1,1,2
18,2020,1,9,2,1,1,3,10,1014,99,1,22,3,3,5,1,4,18,5,9999,99,2,2,1
19,2020,1,2,1,1,1,3,11,1106,99,2,15,2,2,4,2,4,999,2,9999,99,4,1,2
20,2020,1,2,1,1,1,3,9,903,99,1,23,3,3,5,1,4,64,5,9999,99,1,2,1
21,2020,1,17,3,2,1,3,16,1613,99,1,34,5,5,7,1,4,6,1,2008,4,1,2,1
22,2020,1,17,3,2,1,3,16,1613,99,1,26,4,4,6,1,4,6,1,2008,4,1,2,1
23,2020,1,0,1,1,1,3,18,1801,99,1,20,3,3,5,1,4,999,99,9999,99,1,1,2
24,2020,1,0,1,1,1,3,18,1801,99,2,21,3,3,5,1,4,999,99,9999,99,1,2,1
25,2020,1,9,2,1,1,3,14,1416,99,2,28,4,4,6,1,3,69,1,9999,99,3,2,1
26,2020,1,9,2,1,1,3,14,1416,99,1,6,1,1,2,2,3,69,1,9999,99,3,2,1
27,2020,1,9,2,1,1,3,14,1416,99,1,6,1,1,2,2,3,69,1,9999,99,3,2,1
28,2020,1,9,2,1,1,3,14,1416,99,1,6,1,1,2,2,3,69,1,9999,99,3,2,1
29,2020,1,9,2,1,1,3,14,1416,99,1,19,2,2,4,1,3,69,1,9999,99,3,2,1
30,2020,1,9,2,1,1,3,14,1416,99,1,14,1,1,3,2,3,69,1,9999,99,3,2,1
31,2020,1,9,2,1,1,3,14,1416,99,2,50,9,9,11,1,3,69,1,9999,99,3,2,1
32,2020,1,9,2,1,1,3,14,1416,99,2,32,5,5,7,1,3,69,1,9999,99,3,2,1
33,2020,1,9,2,1,1,3,14,1416,99,2,14,1,1,3,2,3,69,1,9999,99,3,2,1
34,2020,1,9,2,1,1,3,14,1416,99,2,18,2,2,4,1,3,69,1,9999,99,3,2,1
35,2020,1,9,2,1,1,3,14,1416,99,1,5,1,1,2,2,3,69,1,9999,99,3,2,1
36,2020,1,9,2,1,1,3,14,1416,99,1,16,2,2,4,2,3,69,1,9999,99,3,2,1
37,2020,1,9,2,1,1,3,14,1416,99,1,999,16,12,18,1,3,69,1,9999,99,3,2,1
38,2020,1,9,2,1,1,3,14,1416,99,2,16,2,2,4,2,3,69,1,9999,99,3,2,1
39,2020,1,9,2,1,1,3,14,1416,99,2,23,3,3,5,1,3,69,1,9999,99,3,2,1
40,2020,1,9,2,1,1,3,14,1416,99,2,17,2,2,4,2,3,69,1,9999,99,3,2,1
41,2020,1,9,2,1,1,3,14,1416,99,2,999,16,12,18,1,3,69,1,9999,99,3,2,1
42,2020,1,9,2,1,1,3,14,1416,99,1,13,1,1,3,2,3,69,1,9999,99,3,2,1
43,2020,1,20,4,3,1,3,4,406,99,1,60,11,11,13,1,18,999,99,9999,99,1,1,2
44,2020,2,11,2,1,1,4,19,1903,99,2,46,8,8,10,1,3,56,1,1989,2,1,2,1
45,2020,2,19,4,3,1,4,3,301,99,2,59,10,10,12,1,2,52,4,2017,5,8,2,1
46,2020,2,17,3,2,1,4,1,103,99,1,21,3,3,5,1,4,67,1,2006,4,1,2,1
47,2020,3,15,3,2,1,5,1,101,1,1,58,10,10,12,1,4,6,15,2020,6,1,2,1
