﻿﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,tipo_eve_cod
1,2022,1,4,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Guatemala,9,Hombre,27,25-29,25-29,25 - 29,Mayor,Automóvil,Honda,Azul,Ignorado,Ignorado,1,Lesionado,No internado,1
2,2022,1,11,06:00 a 11:59,Mañana,1,Sabado,Guatemala,San José Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
3,2022,1,1,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Guatemala,7,Hombre,26,25-29,25-29,25 - 29,Mayor,Automóvil,Mitsubishi,Amarillo,2002,2000-2009,2,Lesionado,Internado,2
4,2022,1,7,06:00 a 11:59,Mañana,1,Sabado,Guatemala,Guatemala,7,Hombre,35,35-39,35-39,35 - 39,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
5,2022,1,5,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,6,Fallecido,No internado,6
6,2022,1,5,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,29,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,6,Lesionado,Internado,6
7,2022,1,5,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,34,30-34,30-34,30 - 34,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,6,Fallecido,No internado,6
8,2022,1,5,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,6,Lesionado,Internado,6
9,2022,1,21,18:00 a 23:59,Noche,1,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,35,35-39,35-39,35 - 39,Mayor,Camioneta,Ford,Verde,1998,1990-1999,6,Lesionado,Internado,6
10,2022,1,21,18:00 a 23:59,Noche,1,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Ford,Verde,1998,1990-1999,6,Lesionado,Internado,6
